Brand Name,Selling Price,Rating (Out of 5)
SAMSUNG ,"28,999",5
FOSSIL ,"13,495",5
FOSSIL ,"11,995",5
FOSSIL ,"8,995",5
APPLE,"44,900",5
APPLE,"41,900",5
GARMIN ,"19,990",5
GARMIN ,"46,990",5
GARMIN ,"28,990",5
FOSSIL ,"11,995",4.8
FOSSIL ,"15,995",4.8
FOSSIL ,"8,995",4.8
GARMIN ,"27,990",4.8
FitBit,"10,899",4.7
FOSSIL ,"8,995",4.7
APPLE,"30,400",4.7
APPLE,"27,400",4.7
APPLE,"30,400",4.7
APPLE,"32,900",4.7
APPLE,"52,900",4.7
APPLE,"52,900",4.7
APPLE,"50,400",4.7
APPLE,"50,400",4.7
APPLE,"29,900",4.7
APPLE,"40,900",4.7
APPLE,"52,900",4.7
APPLE,"1,14,900",4.7
APPLE,"34,900",4.7
GARMIN ,"19,990",4.7
GARMIN ,"41,990",4.7
GARMIN ,"39,990",4.7
GARMIN ,"33,742",4.7
GARMIN ,"42,990",4.7
GARMIN ,"18,990",4.7
GARMIN ,"24,990",4.7
GARMIN ,"47,490",4.7
GARMIN ,"21,999",4.7
GARMIN ,"12,999",4.7
SAMSUNG ,"32,959",4.6
SAMSUNG ,"40,000",4.6
SAMSUNG ,"34,999",4.6
SAMSUNG ,"31,999",4.6
SAMSUNG ,"40,000",4.6
SAMSUNG ,"28,999",4.6
SAMSUNG ,"36,999",4.6
SAMSUNG ,"34,999",4.6
SAMSUNG ,"31,999",4.6
SAMSUNG ,"21,989",4.6
SAMSUNG ,"24,989",4.6
SAMSUNG ,"18,532",4.6
FOSSIL ,"13,495",4.6
FOSSIL ,"13,495",4.6
FOSSIL ,"6,995",4.6
FOSSIL ,"9,097",4.6
FOSSIL ,"6,995",4.6
FOSSIL ,"8,995",4.6
FOSSIL ,"18,495",4.6
FOSSIL ,"17,995",4.6
FOSSIL ,"8,995",4.6
FOSSIL ,"13,495",4.6
FOSSIL ,"11,995",4.6
FOSSIL ,"6,995",4.6
FOSSIL ,"11,995",4.6
FOSSIL ,"21,995",4.6
FOSSIL ,"6,995",4.6
FOSSIL ,"11,995",4.6
FOSSIL ,"6,995",4.6
FOSSIL ,"21,495",4.6
FOSSIL ,"6,995",4.6
FOSSIL ,"14,495",4.6
FOSSIL ,"6,995",4.6
FOSSIL ,"17,995",4.6
FOSSIL ,"12,995",4.6
FOSSIL ,"13,495",4.6
FOSSIL ,"8,995",4.6
FOSSIL ,"6,995",4.6
FOSSIL ,"6,995",4.6
FOSSIL ,"18,995",4.6
FOSSIL ,"11,995",4.6
FOSSIL ,"6,995",4.6
FOSSIL ,"8,995",4.6
FOSSIL ,"15,995",4.6
FOSSIL ,"10,796",4.6
FOSSIL ,"6,995",4.6
FOSSIL ,"23,995",4.6
FOSSIL ,"11,995",4.6
FOSSIL ,"15,995",4.6
FOSSIL ,"18,995",4.6
FOSSIL ,"8,995",4.6
FOSSIL ,"17,995",4.6
FOSSIL ,"6,995",4.6
APPLE,"18,900",4.6
APPLE,"16,900",4.6
APPLE,"36,900",4.6
APPLE,"31,400",4.6
APPLE,"31,400",4.6
APPLE,"33,900",4.6
APPLE,"69,900",4.6
APPLE,"56,900",4.6
APPLE,"33,900",4.6
APPLE,"31,400",4.6
APPLE,"50,900",4.6
APPLE,"53,900",4.6
APPLE,"31,400",4.6
APPLE,"31,400",4.6
APPLE,"33,900",4.6
APPLE,"31,400",4.6
APPLE,"33,900",4.6
APPLE,"33,900",4.6
APPLE,"33,900",4.6
APPLE,"33,900",4.6
APPLE,"48,900",4.6
APPLE,"77,900",4.6
APPLE,"29,900",4.6
APPLE,"73,900",4.6
APPLE,"56,900",4.6
APPLE,"73,900",4.6
APPLE,"79,900",4.6
APPLE,"21,900",4.6
APPLE,"1,22,090",4.6
APPLE,"25,900",4.6
APPLE,"32,380",4.6
APPLE,"1,22,090",4.6
APPLE,"64,900",4.6
GARMIN ,"24,990",4.6
Zebronics,"2,499",4.6
SAMSUNG ,"11,990",4.5
SAMSUNG ,"12,990",4.5
SAMSUNG ,"16,990",4.5
SAMSUNG ,"21,390",4.5
FOSSIL ,"11,596",4.5
APPLE,"45,690",4.5
APPLE,"37,490",4.5
APPLE,"45,690",4.5
APPLE,"67,900",4.5
APPLE,"40,190",4.5
APPLE,"45,690",4.5
APPLE,"43,900",4.5
APPLE,"48,490",4.5
APPLE,"45,690",4.5
APPLE,"69,900",4.5
APPLE,"45,690",4.5
APPLE,"39,990",4.5
APPLE,"45,690",4.5
APPLE,"67,900",4.5
APPLE,"43,900",4.5
APPLE,"48,490",4.5
APPLE,"37,490",4.5
APPLE,"37,490",4.5
APPLE,"48,490",4.5
APPLE,"37,490",4.5
APPLE,"77,900",4.5
APPLE,"48,490",4.5
APPLE,"67,900",4.5
APPLE,"40,190",4.5
APPLE,"43,900",4.5
APPLE,"67,900",4.5
APPLE,"43,900",4.5
APPLE,"29,900",4.5
APPLE,"60,900",4.5
APPLE,"31,600",4.5
Huawei,"14,990",4.5
Huawei,"19,990",4.5
Huawei,"10,990",4.5
Huawei,"20,990",4.5
Zebronics,"2,199",4.5
Zebronics,"2,799",4.5
